fileID,f1,f2,vot,notes
ne03_kaka,789.08,1791.47,32.99,
ne03_kaka1,823.33,1706.82,34.04,
ne03_kaka2,874.77,1255.10,40.09,
ne03_keke,612.15,2639.97,31.50,
ne03_keke1,570.81,1802.86,31.59,
ne03_keke2,562.02,2546.70,38.99,
ne03_kiki,530.92,2731.63,38.11,
ne03_kiki1,410.90,2024.00,80.16,
ne03_kiki2,372.68,2794.05,66.11,
ne03_koko,511.45,1070.88,51.67,
ne03_koko1,538.45,1204.02,37.64,
ne03_koko2,574.21,1092.33,36.26,
ne03_kuku,516.29,990.02,48.03,
ne03_kuku1,467.00,1071.93,55.45,
ne03_kuku2,414.74,1055.59,51.98,
ne03_paka,852.92,1786.14,12.00,
ne03_paka1,743.91,1812.69,26.45,
ne03_paka2,758.33,1894.53,8.72,
ne03_peke,549.30,1763.28,13.70,
ne03_peke1,765.06,2469.41,37.18,
ne03_peke2,609.48,2407.41,16.74,
ne03_piki,363.82,2610.17,29.27,
ne03_piki1,379.41,1977.76,42.98,
ne03_piki2,390.59,2161.62,16.44,
ne03_poko,640.33,1117.58,15.22,
ne03_poko1,589.69,1178.96,35.47,
ne03_poko2,593.92,1101.91,44.72,
ne03_puku,562.60,1138.45,35.64,
ne03_puku1,425.33,964.96,47.16,
ne03_puku2,506.50,1009.50,71.22,
ne03_taka,626.75,1388.64,26.27,
ne03_taka1,857.70,1750.39,20.29,
ne03_taka2,522.13,933.64,17.64,
ne03_teke,577.04,1517.36,41.50,
ne03_teke1,573.07,1862.09,34.81,
ne03_teke2,566.64,1666.82,26.91,
ne03_tiki,379.41,2788.32,47.25,
ne03_tiki1,377.22,1527.14,78.00,
ne03_tiki2,412.47,1722.52,30.60,
ne03_toko,616.50,1102.37,31.47,
ne03_toko1,624.82,1197.40,38.71,
ne03_toko2,535.59,1064.34,27.73,
ne03_tuku,445.70,1094.83,48.53,
ne03_tuku1,428.73,1050.92,62.71,
ne03_tuku2,478.15,1121.78,43.97,
