fileID,f1,f2,vot,notes
ne01_kaka,884.84,1649.42,34.50,
ne01_kaka1,952.39,1766.78,34.09,
ne01_kaka2,1076.37,1755.79,31.28,
ne01_keke,469.31,2476.51,32.79,
ne01_keke1,600.88,2479.17,30.36,
ne01_keke2,493.10,2632.51,32.11,
ne01_kiki,364.70,2845.37,33.79,
ne01_kiki1,983.40,2246.44,46.38,
ne01_kiki2,438.62,2784.31,46.46,
ne01_koko,646.49,1070.26,52.17,
ne01_koko1,579.17,1063.82,33.37,
ne01_koko2,638.90,1101.72,40.68,
ne01_kuku,489.23,1105.86,67.56,
ne01_kuku1,444.86,1013.02,60.02,
ne01_kuku2,1090.89,2138.49,60.66,
ne01_paka,751.41,1503.83,18.30,
ne01_paka1,827.95,1610.79,10.88,
ne01_paka2,856.73,1665.31,18.39,
ne01_peke,412.32,2661.17,8.28,
ne01_peke1,403.89,2695.48,27.87,
ne01_peke2,536.24,2507.29,14.04,
ne01_piki,403.31,2818.45,18.31,
ne01_piki1,419.00,2878.58,11.62,
ne01_piki2,372.13,2920.20,9.77,
ne01_poko,530.50,1078.64,26.71,
ne01_poko1,570.35,1155.95,22.67,
ne01_poko2,502.10,1049.44,15.61,
ne01_puku,418.63,1062.28,27.03,
ne01_puku1,450.44,1064.71,54.61,
ne01_puku2,438.85,1011.43,61.10,
ne01_taka,887.12,1699.28,16.03,
ne01_taka1,1223.01,1814.54,16.40,
ne01_taka2,939.66,1701.94,12.09,
ne01_teke,515.61,2452.25,15.58,
ne01_teke1,548.06,2468.28,15.10,
ne01_teke2,866.49,2509.54,14.06,
ne01_tiki,377.46,2874.95,18.35,
ne01_tiki1,390.96,2854.85,25.34,
ne01_tiki2,360.60,3011.59,32.12,
ne01_toko,599.73,1006.82,32.00,
ne01_toko1,472.54,1077.15,25.95,
ne01_toko2,547.48,1061.25,17.67,
ne01_tuku,424.57,1056.96,36.47,
ne01_tuku1,412.68,1074.16,22.67,
ne01_tuku2,1063.85,1687.66,40.63,
