fileID,f1,f2,vot,notes
bi02_kaka,785.49,1574.23,24.06,
bi02_kaka1,782.16,1534.75,26.90,
bi02_kaka2,539.90,1497.61,26.78,
bi02_keke,471.55,2196.43,27.40,
bi02_keke1,469.91,2325.32,20.11,
bi02_keke2,525.80,2234.34,25.71,
bi02_kiki,336.05,2618.03,35.55,
bi02_kiki1,348.28,2681.40,21.02,
bi02_kiki2,336.37,2570.36,25.30,
bi02_koko,617.47,994.82,33.05,
bi02_koko1,592.04,962.71,30.97,
bi02_koko2,431.93,910.35,41.69,
bi02_kuku,471.87,915.55,34.37,
bi02_kuku1,467.64,918.06,34.34,
bi02_kuku2,293.66,770.55,24.72,
bi02_paka,808.54,1633.87,10.48,
bi02_paka1,726.63,1451.64,16.23,
bi02_paka2,674.54,1625.53,9.67,
bi02_peke,500.91,2264.84,12.52,
bi02_peke1,461.07,2353.83,18.38,
bi02_peke2,485.42,2329.02,16.01,
bi02_piki,355.49,1704.05,22.16,
bi02_piki1,288.13,2479.93,12.21,
bi02_piki2,572.64,2681.92,17.47,
bi02_poko,583.48,919.19,13.36,
bi02_poko1,581.10,949.54,15.33,
bi02_poko2,568.86,1059.06,11.39,
bi02_puku,506.93,897.58,28.91,
bi02_puku1,462.37,854.06,17.49,
bi02_puku2,439.14,804.37,21.64,
bi02_taka,807.37,1554.19,29.23,
bi02_taka1,742.74,1526.95,15.52,
bi02_taka2,518.95,1446.75,22.18,
bi02_teke,529.56,2217.11,15.57,
bi02_teke1,464.19,2344.00,14.88,
bi02_teke2,424.97,1085.98,13.89,
bi02_tiki,646.53,2371.23,17.36,
bi02_tiki1,346.33,2745.66,13.35,
bi02_tiki2,498.93,1704.94,11.72,
bi02_toko,482.13,906.74,11.61,
bi02_toko1,552.04,963.60,9.38,
bi02_toko2,606.10,1001.51,13.16,
bi02_tuku,472.54,961.16,17.23,
bi02_tuku1,467.19,928.62,14.84,
bi02_tuku2,521.26,830.57,14.83,
